#,,,,,,
# Trademarked Name DB,,,,,,
#,,,,,,
# trademark class[1-45],,,,,,
sicopal,"CHEMICAL, COLOR, PAINT",MATERIAL,inorganic color pigment, inorganic bismuth vanadate pigments,,
silres,,,water-repellent hydrophobic coating,,,
SLIMbus,"DIGIAL AUDIO, COMPUTER",COMPUTER PROCESSOR CHIP,serial low-power inter-chip media bus,,,
storm-fit,FABRIC,MATERIAL,waterproof windproof breathable polyester fabric,,,
stratocell,FOAM,MATERIAL,non-crosslinked closed cell polyethylene foam plank laminated,,,
supazote,FOAM,MATERIAL,super soft closed cell cross-linked ethylene copolymer foam,,,
super glue,,,cyanoacrylate adhesive,,,
SYMPATEX,CLOTHING,MATERIAL,waterproof breathable fabric,,,
TePe,DENTAL,COMPANY,toothbrushes and toothpicks,dental product company,,
Steradent,DENTAL,COMPANY,dental product company,,,
Oral-B,DENTAL,COMPANY,dental product company,,,
Nike,CLOTHING,COMPANY,athletic shoes and clothing company,,,
INTEL,COMPUTER,COMPANY,computer company,,,
Microsoft,COMPUTER,COMPANY,computer company,,,
KOHLER,"KITCHEN, BATH",COMPANY,kitchen and bathroom product company,,,
